399,Chandra Mohan,42
400,Char Baria,42
401,Char Kowa,42
402,Char Monai,42
403,Jagua,42
404,Kashipur,42
405,Roypasha Karapur,42
406,Shayestabad,42
407,Tungibaria,42
408,Alinagar,43
409,Bapta,43
410,Char Syamaia,43
411,Shibpur,43
412,Dhania,43
413,Illisha,43
414,Illisha Paschim,43
415,Kachia,43
416,Uttar Dighaldi,43
417,Rajapur,43
418,Dakshin Dighaldi,43
419,Bheduria,43
420,Velumia,43
421,Aminabad,44
422,Aslampur,44
423,Char Kalmi,44
424,Char Madras,44
425,Char Manika,44
426,Hazariganj,44
427,Jinnaghar,44
428,Kukuri-Mukuri,44
429,Nilkamal,44
430,Nurabad,44
431,Osmanganj,44
432,Rasulpur,44
433,Eajpur,44
434,Jahanpur,44
435,Abdullahpur,44
436,Abubakarpur,44
437,Nazrul Nagar,44
438,Mujib Nagar,44
439,Dhalchar,44
440,Badarpur,45
441,Char Bhuta,45
442,Dhali Gaurnagar,45
443,Farazganj,45
444,Kalma,45
445,Lalmohan,45
446,Lord Hardinge,45
447,Ramaganj,45
448,Paschim Char Umed,45
449,Hajirhat,46
450,Manpura,46
451,Sakuchia,46
452,Bara Malanchara,47
453,Chanchra,47
454,Chandpur,47
455,Sonapur,47
456,Shambhupur,47
457,Char Khalifa,48
458,Char Pata,48
459,Hajipur,48
460,Madonpur,48
461,Uttar Joynagar,48
462,Dakshin Joynagar,48
463,Sayeddpur,48
464,Medua,48
465,Bhabanipur,48
466,Bara Manika,49
467,Deula,49
468,Gangapur,49
469,Hassan Nagar,49
470,Kachia,49
471,Kutuba,49
472,Pakshia,49
473,Sachra,49
474,Tobgi,49
475,Adamdighi,50
476,Chanpapur,50
477,Chhatiangram,50
478,Kundugram,50
479,Nasratpur,50
480,Shantahar,50
481,Erulia,51
482,Fanpore,51
483,Gokul,51
484,Lahiripara,51
485,Namuja,51
486,Nishindara,51
487,Noongola,51
488,Rajapur,51
489,Shabgram,51
490,Shakharia,51
491,Sekherkola,51
492,Bhandarbari,52
493,Chowkibari,52
494,Chikashi,52
495,Dhunat,52
496,Elangi,52
497,Gopalnagar,52
498,Goshaibari,52
499,Kalerpara,52
500,Mathurapur,52
501,Nimgachhi,52
502,Chamrul,53
503,Dhupchanchia,53
504,Gobindapur,53
505,Gunahar,53
506,Talora,53
507,Zianagar,53
508,Baliadighi,54
509,Dakshinpara,54
510,Durgahata,54
511,Gabtali,54
512,Kagoil,54
513,Mahishaban,54
514,Naruwala,54
515,Nasipur,54
516,Nepaltali,54
517,Rameshwarpur,54
518,Sonaroy,54
519,Birkedar,55
520,Durgapur,55
521,Jamgram,55
522,Kahaloo,55
523,Kalai,55
524,Malancho,55
525,Maruil,55
526,Narahotta,55
527,Paikar,55
528,Bhatgram,56
529,Bhatora,56
530,Burail,56
531,Nandigram,56
532,Thaltamajhgram,56
533,Bhelabari,57
